Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Luca Philipp-Hoffenheim;Arthur Chaves-Hoffenheim;Leo Skiri Østigård-Hoffenheim;Stanley N'Soki-Hoffenheim;Pavel Kadeřábek-Hoffenheim;Anton Stach-Hoffenheim;Tom Bischof-Hoffenheim;Bazoumana Touré-Hoffenheim;Andrej Kramarić-Hoffenheim;Marius Bülter-Hoffenheim;Adam Hložek-Hoffenheim;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Oliver Baumann-Hoffenheim;Kevin Akpoguma-Hoffenheim;Dennis Geiger-Hoffenheim;Valentin Gendrey-Hoffenheim;Haris Tabaković-Hoffenheim;David Jurásek-Hoffenheim;Gift Orban-Hoffenheim;Finn Ole Becker-Hoffenheim;Umut Tohumcu-Hoffenheim;Diadie Samassékou-Hoffenheim;Alexander Prass-Hoffenheim;Max Moerstedt-Hoffenheim;Robin Hranáč-Hoffenheim;Erencan Yardimci-Hoffenheim;David Mokwa-Hoffenheim;Jacob Bruun Larsen-Hoffenheim;Mërgim Berisha-Hoffenheim;Florian Grillitsch-Hoffenheim;Tim Drexler-Hoffenheim;Grischa Prömel-Hoffenheim;Ozan Kabak-Hoffenheim;Maximilian Beier-Hoffenheim;Ihlas Bebou-Hoffenheim;Robert Skov-Hoffenheim;Wout Weghorst-Hoffenheim;John Anthony Brooks-Hoffenheim;Kevin Vogt-Hoffenheim;Attila Szalai-Hoffenheim;Angelo Stiller-Hoffenheim;Sebastian Rudy-Hoffenheim;José Ángel Esmorís Tasende-Hoffenheim;Christoph Baumgartner-Hoffenheim;Moanes Dabour-Hoffenheim;Thomas Delaney-Hoffenheim;Kasper Dolberg-Hoffenheim;Georginio Rutter-Hoffenheim;Eduardo Quaresma-Hoffenheim;Muhammed Damar-Hoffenheim
2025-05-03;Hoffenheim;9;17;3;97;172;Mönchengladbach;0;0;26;12;8;7;0.56;0.44;488;0.81;8;6;0;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.03666666666666667;0.0;395;0.020253164556962026;705.3571428571428;0.2692307692307692;12.499999999999998;14;0.12000000000000005;3;0;2;0.05327868852459016;0.15384615384615385;0.14;1.75;1;3;4;0;1;0;1;0;0.15384615384615385;0.5;0.00819672131147541;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Hoffenheim;9;17;17;97;11;Dortmund;5;1;11;16;3;8;0.37;0.63;369;0.78;17;9;5;1;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.039375;0.29411764705882354;288;0.059027777777777776;778.3783783783784;0.18181818181818182;5.405405405405405;-5;-0.26;-3;4;8;0.02981029810298103;0.18181818181818182;0.185;1.0;0;2;2;0;0;1;0;1;0.18181818181818182;0.6666666666666666;0.005420054200542005;5.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Hoffenheim;9;17;8;97;170;Friburgo;2;3;19;12;6;6;0.61;0.39;500;0.83;13;14;2;3;0;0;6;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.0325;0.15384615384615385;415;0.03132530120481928;680.327868852459;0.3157894736842105;9.836065573770492;7;0.21999999999999997;4;-1;-1;0.038;0.10526315789473684;0.305;3.0;2;0;2;0;0;1;1;0;0.10526315789473684;0.3333333333333333;0.004;9.5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Hoffenheim;9;3;17;97;174;Mainz 05;4;1;8;14;5;1;0.35;0.65;279;0.69;18;11;4;0;0;1;4;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;7;0.04642857142857143;0.2222222222222222;193;0.09326424870466321;551.4285714285714;0.5;11.428571428571429;-6;-0.30000000000000004;-3;3;7;0.02867383512544803;0.25;0.175;2.0;2;0;2;1;0;0;0;1;0.25;0.4;0.007168458781362007;4.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Hoffenheim;9;3;13;97;31;RB Leipzig;4;0;9;16;5;5;0.33;0.67;298;0.8;12;10;3;0;1;0;2;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;8;0.041875;0.3333333333333333;238;0.05042016806722689;721.2121212121211;0.2222222222222222;6.0606060606060606;-7;-0.34;-6;4;2;0.030201342281879196;0.1111111111111111;0.33;2.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.2;0.003355704697986577;9.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Hoffenheim;9;3;17;97;173;Augsburgo;1;2;13;11;4;4;0.57;0.43;512;0.81;14;12;1;2;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.03909090909090909;0.07142857142857142;415;0.033734939759036145;728.0701754385966;0.15384615384615385;3.5087719298245617;2;0.13999999999999996;0;-1;2;0.025390625;0.07692307692307693;0.57;2.0;0;1;1;0;1;0;0;1;0.07692307692307693;0.25;0.001953125;13.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;Hoffenheim;9;3;29;97;176;St. Pauli;1;0;4;10;0;5;0.57;0.43;487;0.77;8;6;1;0;0;0;2;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;11;0.043;0.125;375;0.021333333333333333;657.8947368421053;0.5;3.5087719298245617;-6;0.13999999999999996;-9;1;2;0.008213552361396304;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Hoffenheim;9;14;28;97;142;Heidenheim;2;3;16;23;3;5;0.55;0.45;459;0.8;9;11;2;3;0;0;6;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4;0.01956521739130435;0.2222222222222222;367;0.02452316076294278;667.2727272727273;0.375;10.909090909090908;-7;0.10000000000000003;2;-1;-2;0.034858387799564274;0.0625;0.55;6.0;1;0;1;0;1;0;0;1;0.0625;0.3333333333333333;0.002178649237472767;16.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Hoffenheim;9;3;2;97;178;Bochum;1;0;10;12;2;3;0.42;0.58;290;0.64;17;16;1;0;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;8;0.04833333333333333;0.058823529411764705;186;0.0913978494623656;442.8571428571429;0.5;11.904761904761905;-2;-0.15999999999999998;-3;1;1;0.034482758620689655;0.1;0.42;5.0;0;1;1;1;0;0;1;0;0.1;0.5;0.0034482758620689655;10.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Hoffenheim;9;4;13;97;18;Stuttgart;0;0;9;14;2;7;0.44;0.56;475;0.8;8;10;0;0;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;8;0.04;0.0;380;0.021052631578947368;863.6363636363636;0.4444444444444444;9.090909090909092;-5;-0.12000000000000005;-4;0;-2;0.018947368421052633;0.1111111111111111;0.44;4.0;0;1;1;0;1;0;0;1;0.1111111111111111;0.5;0.002105263157894737;9.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
